youll never guess whats happened  _eou_ what  _eou_ john has fallen in love with me 	that idiot boarder 
how do you know did he tell you 	well no but its so obvious 
i think im going crazy 	no youre not gina its everybody else who is bonkers 
i think im going crazy  _eou_ no youre not gina its everybody else who is bonkers 	lets go overseas 
i think im going crazy  _eou_ no youre not gina its everybody else who is bonkers  _eou_ lets go overseas 	you mean travel by ourselves 
stay still or theyll be blurry 	hurry up im freezing 
stay still or theyll be blurry  _eou_ hurry up im freezing 	just __name__ couple more 
stay still or theyll be blurry  _eou_ hurry up im freezing  _eou_ just __name__ couple more 	i know ill lean forward and show more cleavage 
im sure theyll notice things missing 	theyll blame the bloody housekeeper she nicks stuff all the times 
this lots got to be worth 50 quid 	i can try my fathers safe im sure __name__ can get the keys to his office 
this lots got to be worth 50 quid  _eou_ i can try my fathers safe im sure __name__ can get the keys to his office 	thats great well have the fare in no time 
i thought he was supposed to be terribly ill 	that was what we were led to believe 
poor mother was completely taken in 	do you think bloody bills trying to get into her draws 
poor mother was completely taken in  _eou_ do you think bloody bills trying to get into her draws 	too right but he doesnt have __name__ show nobody gets into mothers draws except daddy 
poor father 	dont worry gina mummy and daddy love each other 
but thats not true ive got one 	i need my sodding parents consent 
im coming with you 	yes 
im coming with you  _eou_ yes 	i know what to do about mother 
mummy 	mummy 
lets go upstairs deborah __name__ wrote the last 10 pages of my opera last night 	all right then 
its __name__ three act story with __name__ tragic end 	your mother is __name__ rather miserable woman isnt she 
its __name__ three act story with __name__ tragic end  _eou_ your mother is __name__ rather miserable woman isnt she 	i thought for hours about whether carmelita should accept bernards marriage proposal 
its __name__ three act story with __name__ tragic end  _eou_ your mother is __name__ rather miserable woman isnt she  _eou_ i thought for hours about whether carmelita should accept bernards marriage proposal 	i think she knows whats going to happen she doesnt appear to bear us any grudge 
bye dad 	goodbye mr rieper 
isnt it beautiful 	lets go for __name__ walk down here come on mummy 
